state,Europeans,US
#Alabama,30.1,30.1
#Alaska,27.3,27.3
#Arizona,23.3,23.3
#Arkansas,28.1,28.1
California,34.1,23.1
Colorado,21,21
#Connecticut,20.8,20.8
#District of Columbia,22.1,22.1
#Delaware,25.9,25.9
Florida,23.3,23.3
#Georgia,27.5,27.5
Hawaii,20.7,20.7
#Idaho,24.6,24.6
#Illinois,25.3,25.3
#Indiana,27.5,27.5
#Iowa,26.3,26.3
#Kansas,25.8,25.8
#Kentucky,28.4,28.4
#Louisiana,29.5,29.5
#Maine,23.7,23.7
#Maryland,25.2,25.2
#Massachusetts,20.9,20.9
Michigan,27.7,27.7
Minnesota,24.8,24.8
#Mississippi,34.4,34.4
Missouri,27.4,27.4
#Montana,21.7,21.7
#Nebraska,26.5,26.5
#Nevada,23.6,23.6
#New Hampshire,23.6,23.6
#New Jersey,22.9,22.9
#New Mexico,23.3,23.3
New York,23.5,23.5
#North Carolina,27.1,27.1
#North Dakota,25.9,25.9
#Ohio,26.9,26.9
Oklahoma,28.1,28.1
Oregon,25,25
Pennsylvania,25.7,25.7
#Rhode Island,21.4,21.4
#South Carolina,29.2,29.2
#South Dakota,26.1,26.1
#Tennessee,29,29
#Texas,27.2,27.2
Utah,21.8,21.8
Vermont,21.1,21.1
Virginia,25.2,25.2
#Washington,24.5,24.5
#West Virginia,30.6,30.6
#Wisconsin,25.5,25.5
#Wyoming,24,24
